代码,指数名称,rule_id,factor,category,strategy_label,open_condition,close_condition,close_reason,entry_signal_date,entry_date,exit_signal_date,exit_date,entry_signal_idx,entry_idx,exit_signal_idx,exit_idx,entry_price,exit_price,trade_return,annualized_trade_return,max_drawdown,holding_days,forced_exit
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2018-10-31,2018-11-01,2018-11-13,2018-11-14,529,530,538,539,3550.3008,3685.2557,0.0380122439202899,1.842296209700442,-0.022285036863813223,9,False
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2019-01-11,2019-01-14,2019-03-07,2019-03-08,579,580,613,614,3526.0851,4249.7323,0.2052268108900719,2.9889882181043954,-0.04049768027395906,34,False
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2019-05-27,2019-05-28,2019-07-12,2019-07-15,666,667,699,700,4159.7503,4228.4917,0.016525366919259543,0.13333244500268848,-0.04323331596342983,33,False
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2019-08-22,2019-08-23,2019-09-18,2019-09-19,728,729,746,747,4201.7242,4388.8838,0.04454352334691558,0.8406514963839617,-0.020377006479762372,18,False
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2019-12-10,2019-12-11,2020-01-07,2020-01-08,800,801,819,820,4290.4536,4575.36,0.06640472699669786,1.3460362059384727,-0.022725886579533006,19,False
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2020-02-20,2020-02-21,2020-03-03,2020-03-04,845,846,853,854,4751.46,4721.6619,-0.006271356593552269,-0.17976941818972236,-0.060852226523301356,8,False
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2020-04-09,2020-04-10,2020-05-26,2020-05-27,879,880,909,910,4319.3555,4413.3213,0.021754588155570964,0.19815060453452515,-0.03608940070999611,30,False
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2020-06-09,2020-06-10,2020-07-16,2020-07-17,919,920,944,945,4624.6669,5202.8155,0.12501410642137256,2.2784783339007006,-0.07586662272668032,25,False
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2020-11-12,2020-11-13,2020-12-10,2020-12-11,1023,1024,1043,1044,5402.7702,5371.694,-0.005751901126573866,-0.07010461500944831,-0.03472348796193703,20,False
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2020-12-30,2020-12-31,2021-01-22,2021-01-25,1057,1058,1073,1074,5621.7288,5902.0349,0.04986119216565554,1.1519250863445594,-0.019791082864206166,16,False
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2021-02-25,2021-02-26,2021-03-02,2021-03-03,1092,1093,1095,1096,5617.6694,5759.4494,0.025238224235837103,7.114884402155452,-0.010109405728277565,3,False
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2021-04-14,2021-04-15,2021-06-07,2021-06-08,1125,1126,1160,1161,5382.6199,5739.3911,0.06628207204450765,0.5873736695347442,-0.02289267548764151,35,False
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2021-08-18,2021-08-19,2021-09-22,2021-09-23,1211,1212,1234,1235,5694.725,5854.0768,0.027982352088994578,0.3530727040687134,-0.029198920191128352,23,False
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2021-10-25,2021-10-26,2021-12-07,2021-12-08,1252,1253,1283,1284,5801.9828,5960.454,0.027313283314111203,0.24489660117108492,-0.023080816440889773,31,False
