代码,指数名称,日期,rule_id,factor,position,strategy_return,benchmark_return
000985.CSI,中证全指,2017-03-27,chip_profit_index,指数筹码盈利,0.0,-0.0,-0.0030992237663136635
000985.CSI,中证全指,2017-03-28,chip_profit_index,指数筹码盈利,0.0,-0.0,-0.002592848288559213
000985.CSI,中证全指,2017-03-29,chip_profit_index,指数筹码盈利,0.0,-0.0,-0.003792677963180391
000985.CSI,中证全指,2017-03-30,chip_profit_index,指数筹码盈利,0.0,-0.0,-0.014443047308206558
000985.CSI,中证全指,2017-03-31,chip_profit_index,指数筹码盈利,0.0,0.0,0.003933815086621939
000985.CSI,中证全指,2017-04-05,chip_profit_index,指数筹码盈利,0.0,0.0,0.017698188513751267
000985.CSI,中证全指,2017-04-06,chip_profit_index,指数筹码盈利,0.0,0.0,0.0031285823042195293
000985.CSI,中证全指,2017-04-07,chip_profit_index,指数筹码盈利,0.0,0.0,0.0010731559297800786
000985.CSI,中证全指,2017-04-10,chip_profit_index,指数筹码盈利,0.0,-0.0,-0.00559650729369332
000985.CSI,中证全指,2017-04-11,chip_profit_index,指数筹码盈利,0.0,0.0,0.006046590948015185
000985.CSI,中证全指,2017-04-12,chip_profit_index,指数筹码盈利,0.0,-0.0,-0.0055817503264219415
000985.CSI,中证全指,2017-04-13,chip_profit_index,指数筹码盈利,0.0,0.0,0.00283642094490566
000985.CSI,中证全指,2017-04-14,chip_profit_index,指数筹码盈利,0.0,-0.0,-0.011597879438269731
000985.CSI,中证全指,2017-04-17,chip_profit_index,指数筹码盈利,0.0,-0.0,-0.00868149104884186
000985.CSI,中证全指,2017-04-18,chip_profit_index,指数筹码盈利,0.0,-0.0,-0.006987347885181627
000985.CSI,中证全指,2017-04-19,chip_profit_index,指数筹码盈利,0.0,-0.0,-0.009107655191246344
000985.CSI,中证全指,2017-04-20,chip_profit_index,指数筹码盈利,0.0,0.0,7.258213887473275e-06
000985.CSI,中证全指,2017-04-21,chip_profit_index,指数筹码盈利,0.0,-0.0,-0.002629650630188274
000985.CSI,中证全指,2017-04-24,chip_profit_index,指数筹码盈利,0.0,-0.0,-0.020391953590217282
000985.CSI,中证全指,2017-04-25,chip_profit_index,指数筹码盈利,0.0,0.0,0.003293949138681418
000985.CSI,中证全指,2017-04-26,chip_profit_index,指数筹码盈利,0.0,0.0,0.002198913478548059
000985.CSI,中证全指,2017-04-27,chip_profit_index,指数筹码盈利,1.0,0.0026577964014984357,0.0026577964014984357
000985.CSI,中证全指,2017-04-28,chip_profit_index,指数筹码盈利,1.0,0.0018981807351166058,0.0018981807351166058
000985.CSI,中证全指,2017-05-02,chip_profit_index,指数筹码盈利,1.0,-0.0010835219920288797,-0.0010835219920288797
000985.CSI,中证全指,2017-05-03,chip_profit_index,指数筹码盈利,1.0,-0.003178556424543233,-0.003178556424543233
000985.CSI,中证全指,2017-05-04,chip_profit_index,指数筹码盈利,1.0,-0.002829605899005383,-0.002829605899005383
000985.CSI,中证全指,2017-05-05,chip_profit_index,指数筹码盈利,1.0,-0.010046991236963065,-0.010046991236963065
000985.CSI,中证全指,2017-05-08,chip_profit_index,指数筹码盈利,1.0,-0.013802078807451656,-0.013802078807451656
000985.CSI,中证全指,2017-05-09,chip_profit_index,指数筹码盈利,1.0,0.0024922006810901287,0.0024922006810901287
